"Name","ResourceGroupName","Subscription"
"NetworkWatcher_eastus2","NetworkWatcherRG","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod-nsg","smg-rg-use2-prod","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod258","smg-rg-use2-prod","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod","smg-rg-use2-prod","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod_OsDisk_1_1f84ada10d504780bdc9768fd913e84a","SMG-RG-USE2-PROD","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod/AzureNetworkWatcherExtension","smg-rg-use2-prod","Spectrum Identity Subscription - Prod"
"DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2","DefaultResourceGroup-EUS2","Spectrum Identity Subscription - Prod"
"SecurityCenterFree(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"Security(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"SQLAdvancedThreatProtection(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"SQLVulnerabilityAssessment(DefaultWorkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-EUS2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod/MicrosoftMonitoringAgent","SMG-RG-USE2-PROD","Spectrum Identity Subscription - Prod"
"smg-dc-use2-prod/MDE.Windows","SMG-RG-USE2-PROD","Spectrum Identity Subscription - Prod"
"Updates(defaultworkspace-46e5acae-f3ae-41aa-903c-21ca74814c34-eus2)","defaultresourcegroup-eus2","Spectrum Identity Subscription - Prod"
"NetworkWatcher_eastus2","NetworkWatcherRG","Spectrum IaaS Landing Zone Subscription - Prod"
"Vmware-IaaS2199project","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaasVault01","iaas-rg-backups-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"Updates(omsforwaves)","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible130","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible570","iaas-rg-backups-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible","iaas-rg-backups-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible_OsDisk_1_7e83d561618a4023aa5b08ee2e8c3d87","IAAS-RG-BACKUPS-PROD","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible/AzurePolicyforLinux","iaas-rg-backups-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-OCR/AzurePolicyforWindows","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-OCR/MicrosoftMonitoringAgent","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-FAC1/AzurePolicyforWindows","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-OCR_1272224606","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-FAC1_69679369","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-FAC1/MicrosoftMonitoringAgent","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-APP-RL6/AzurePolicyforWindows","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"SHCP-DB-RL6/AzurePolicyforWindows","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"shcp-db-rl6/SqlIaasExtension","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"shcp-db-rl6","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-DB-RL6_2096649820","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"AzureBackup_SHCP-APP-RL6_1010576558","AzureBackupRG_eastus2_1","Spectrum IaaS Landing Zone Subscription - Prod"
"SecurityCenterFree(OMSforWaves)","iaas-rg-use2-prod","Spectrum IaaS Landing Zone Subscription - Prod"
"DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2","DefaultResourceGroup-EUS2","Spectrum IaaS Landing Zone Subscription - Prod"
"SecurityCenterFree(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"Security(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"SQLVulnerabilityAssessment(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"SQLAdvancedThreatProtection(DefaultWorkspace-b783bc79-e4d2-4d0f-83ea-70433a9a968e-EUS2)","defaultresourcegroup-eus2","Spectrum IaaS Landing Zone Subscription - Prod"
"iaas-vm-use2-ansible/OmsAgentForLinux","IAAS-RG-BACKUPS-PROD","Spectrum IaaS Landing Zone Subscription - Prod"
