hostname,mgmt_ip,type,device_os,site,site_code,menu_number,domain_controller,avail_vlans
SMG30RTR001,10.30.100.2,router,ios,cmo,30,3,cmo-smgdc1,"{1:'None'}"
SMG30RTR002,10.30.100.3,router,ios,cmo,30,3,cmo-smgdc1,"{1:'None'}"
SMG30SW001,10.30.100.10,switch,ios,cmo,30,3,cmo-smgdc1,"{100:'VLAN 100: default',112:'VLAN 112: printer'}"
SMG10NX001,10.10.100.4,router,nxos,colo,10,1,shcp-smgdc1,"{1:'None'}"
SMG10NX002,10.10.100.5,router,nxos,colo,10,1,shcp-smgdc1,"{1:'None'}"
SMG10RTR001,10.10.100.11,router,nxos,colo,10,1,shcp-smgdc1,"{1:'None'}"
SMG10SW001,10.10.100.10,switch,nxos,colo,10,1,shcp-smgdc1,"{1:'None'}"
SMG20SW001,10.20.100.10,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW002A,10.20.100.20,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW002B,10.20.100.21,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW003,10.20.100.30,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW004,10.20.100.4,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW005,10.20.100.5,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG20SW006,10.20.100.60,switch,ios,gannett,20,2,smg-pdc1,"{149:'VLAN 149: default',112:'VLAN 112: printer'}"
SMG-Nexus-1,10.20.140.2,router,nxos,gannett,20,2,smg-pdc1,"{1:'None'}"
SMG-Nexus-2,10.20.140.3,router,nxos,gannett,20,2,smg-pdc1,"{1:'None'}"
SMG20RTR001,10.20.100.101,router,ios,gannett,20,2,smg-pdc1,"{1:'None'}"
SMG20WAN,10.20.100.90,switch,ios,gannett,20,2,smg-pdc1,"{1:'None'}"
SMG-Core-3850,10.20.100.1,router,ios,gannett,20,2,smg-pdc1,"{1:'None'}"
SMGCUmmingsRdSRST,10.20.160.2,router,ios,gannett,20,2,smg-pdc1,"{1:'None'}"
EMMCSW001,172.23.26.1,switch,ios,emmc,80,8,smg-pdc1,"{1:'None'}"
EMMCSW002,172.23.26.2,switch,ios,emmc,80,8,smg-pdc1,"{1:'None'}"
SMG90SW001,192.168.9.2,switch,ios,norway,90,9,shcp-smgdc1,"{1:'None'}"
SMG70RTR001,10.70.100.2,router,ios,brunswick,70,7,oab-smgdc1,"{1:'None'}"
SMG70RTR001,10.70.100.3,router,ios,brunswick,70,7,oab-smgdc1,"{1:'None'}"
SMG70SW001,10.70.100.10,switch,ios,brunswick,70,7,oab-smgdc1,"{1:'VLAN 1: default',112:'VLAN 112: printer'}"
SMG40RTR001,10.40.100.2,router,ios,portland,40,4,oap-smgdc1,"{1:'None'}"
SMG40RTR002,10.40.100.3,router,ios,portland,40,4,oap-smgdc1,"{1:'None'}"
SMG40SW001,10.40.100.10,switch,ios,portland,40,4,oap-smgdc1,"{1:'VLAN 1: default',2:'VLAN 2: 2nd floor',11:'VLAN 11: MaineOrtho',112:'VLAN 112: printer'}"
SMG40SW002,10.40.100.20,switch,ios,portland,40,4,oap-smgdc1,"{1:'VLAN 1: default',2:'VLAN 2: 2nd floor',11:'VLAN 11: MaineOrtho',112:'VLAN 112: printer'}"
SMG40SW003,10.40.100.30,switch,ios,portland,40,4,oap-smgdc1,"{1:'VLAN 1: default',2:'VLAN 2: 2nd floor',11:'VLAN 11: MaineOrtho',112:'VLAN 112: printer'}"
SMG40SW004,10.40.100.20,switch,ios,portland,40,4,oap-smgdc1,"{1:'VLAN 1: default',2:'VLAN 2: 2nd floor',11:'VLAN 11: MaineOrtho',112:'VLAN 112: printer'}"
SMG50RTR001,10.50.100.2,router,ios,saco,50,5,oas-smgdc1,"{1:'None'}"
SMG50RTR002,10.50.100.3,router,ios,saco,50,5,oas-smgdc1,"{1:'None'}"
SMG50SW001,10.50.100.11,switch,ios,saco,50,5,oas-smgdc1,"{1:'VLAN 1: default',112:'VLAN 112: printer'}"
SMG60RTR001,10.60.100.2,router,ios,windham,60,6,oaw-smgdc1,"{1:'None'}"
SMG60RTR002,10.60.100.3,router,ios,windham,60,6,oaw-smgdc1,"{1:'None'}"
SMG60SW001,10.60.100.10,switch,ios,windham,60,6,oaw-smgdc1,"{1:'VLAN 1: default',112:'VLAN 112: printer'}"
SMG60SW002,10.60.100.9,switch,ios,windham,60,6,oaw-smgdc1,"{1:'VLAN 1: default',112:'VLAN 112: printer'}"
